[MIX_MATCH] (increase_aov) SKUs: SKU-WAT-BL-650ML-0026 + SKU-PRO-BL-700ML-0061 | Price: 35.83 -> 31.95 (10.828914317610941%) | Conf:0.571429 Lift:5.714286 Support:0.026667
[VOLUME_DISCOUNT] (increase_aov) SKUs: SKU-WAT-BL-650ML-0026 + SKU-PRO-BL-700ML-0061 | Price: 35.83 -> 29.95 (16.410828914317612%) | Conf:0.571429 Lift:5.714286 Support:0.026667
[FIXED] (increase_aov) SKUs: SKU-WAT-BL-650ML-0026 + SKU-PRO-BL-700ML-0061 | Price: 35.83 -> 31.95 (10.828914317610941%) | Conf:0.571429 Lift:5.714286 Support:0.026667
[BXGY] (increase_aov) SKUs: SKU-WAT-BL-650ML-0026 + SKU-PRO-BL-700ML-0061 | Price: 35.83 -> 19.95 (44.320401897850964%) | Conf:0.571429 Lift:5.714286 Support:0.026667
[FBT] (increase_aov) SKUs: SKU-FOA-BL-12IN-0056 + SKU-YOG-TE-STD-0028 | Price: 53.63 -> 46.95 (12.455715084840575%) | Conf:0.424242 Lift:3.409091 Support:0.031111
[MIX_MATCH] (increase_aov) SKUs: SKU-FOA-BL-12IN-0056 + SKU-YOG-TE-STD-0028 | Price: 53.63 -> 46.95 (12.455715084840575%) | Conf:0.424242 Lift:3.409091 Support:0.031111
[FIXED] (increase_aov) SKUs: SKU-FOA-BL-12IN-0056 + SKU-YOG-TE-STD-0028 | Price: 53.63 -> 46.95 (12.455715084840575%) | Conf:0.424242 Lift:3.409091 Support:0.031111
[VOLUME_DISCOUNT] (increase_aov) SKUs: SKU-FOA-BL-12IN-0056 + SKU-YOG-TE-STD-0028 | Price: 53.63 -> 44.95 (16.184971098265898%) | Conf:0.424242 Lift:3.409091 Support:0.031111
[BXGY] (increase_aov) SKUs: SKU-FOA-BL-12IN-0056 + SKU-YOG-TE-STD-0028 | Price: 53.63 -> 24.95 (53.47753123251911%) | Conf:0.424242 Lift:3.409091 Support:0.031111
